"Variable","r_pb","abs_r"
"TotalWorkingYears",-0.171063246136225,0.171063246136225
"JobLevel",-0.169104750931029,0.169104750931029
"YearsInCurrentRole",-0.160545004267699,0.160545004267699
"MonthlyIncome",-0.159839582384988,0.159839582384988
"Age",-0.159205006865778,0.159205006865778
"YearsWithCurrManager",-0.156199315901628,0.156199315901628
"StockOptionLevel",-0.137144918933325,0.137144918933325
"YearsAtCompany",-0.134392213989976,0.134392213989976
"JobInvolvement",-0.130015956786054,0.130015956786054
"JobSatisfaction",-0.103481126069022,0.103481126069022
"EnvironmentSatisfaction",-0.103368978337935,0.103368978337935
"DistanceFromHome",0.0779235829557035,0.0779235829557035
"WorkLifeBalance",-0.063939047217409,0.063939047217409
"TrainingTimesLastYear",-0.0594777985564207,0.0594777985564207
"DailyRate",-0.0566519918676292,0.0566519918676292
"RelationshipSatisfaction",-0.0458722788811264,0.0458722788811264
"NumCompaniesWorked",0.0434937390578137,0.0434937390578137
"YearsSinceLastPromotion",-0.0330187751425838,0.0330187751425838
"Education",-0.0313728196400492,0.0313728196400492
"MonthlyRate",0.0151702125304714,0.0151702125304714
"PercentSalaryHike",-0.0134782020574391,0.0134782020574391
"HourlyRate",-0.0068455495721398,0.0068455495721398
"PerformanceRating",0.00288875171108083,0.00288875171108083
